rank,selector,model,mean_cv_score,std_cv_score,params
121,AllFeaturesSelector,AdaBoostClassifier,0.7074,0.00187,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 1.0, 'model__n_estimators': 53, 'selector': AllFeaturesSelector()}"
122,EmbeddedDTSelector,KNeighborsClassifier,0.70731,0.00161,"{'model': KNeighborsClassifier(), 'model__leaf_size': 44, 'model__metric': 'euclidean', 'model__n_neighbors': 18, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 14, 'selector__soglia': 0.02}"
123,AllFeaturesSelector,KNeighborsClassifier,0.70723,0.00128,"{'model': KNeighborsClassifier(), 'model__leaf_size': 20, 'model__metric': 'manhattan', 'model__n_neighbors': 21, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
123,AllFeaturesSelector,KNeighborsClassifier,0.70723,0.00128,"{'model': KNeighborsClassifier(), 'model__leaf_size': 48, 'model__metric': 'manhattan', 'model__n_neighbors': 21, 'model__weights': 'uniform', 'selector': AllFeaturesSelector()}"
125,ReliefFSelector,AdaBoostClassifier,0.70657,0.00168,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 1.0, 'model__n_estimators': 100, 'selector': ReliefFSelector(verbose=False), 'selector__k': 21, 'selector__n_neighbors': 9, 'selector__n_samples': 500}"
126,EmbeddedDTSelector,KNeighborsClassifier,0.70619,0.0011,"{'model': KNeighborsClassifier(), 'model__leaf_size': 47, 'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 17, 'selector__soglia': 0.005}"
127,MutualInfoSelector,KNeighborsClassifier,0.70602,0.00128,"{'model': KNeighborsClassifier(), 'model__leaf_size': 42, 'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 25}"
128,AllFeaturesSelector,RandomForestClassifier,0.70575,0.00188,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 121, 'selector': AllFeaturesSelector()}"
129,MutualInfoSelector,AdaBoostClassifier,0.70574,0.00045,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.01, 'model__n_estimators': 214, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 39}"
130,SFSSelector,RandomForestClassifier,0.70538,0.00387,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__n_estimators': 134, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 10, 'selector__max_depth_dt': 8}"
